DIMENSIONALLY CORRECT EQUATIONS (dps=50)
Sorted by: Target Variable -> Lowest Error
------------------------------------------------------------------------------------------------------------------------
1.600e-14 | Len: 11 | E_h        | sqrt_2 two ^ h * c R_inf * * one *
1.600e-14 | Len: 09 | E_h        | h R_inf * half / c * one /
2.580e-16 | Len: 11 | G_0        | one sqrt_3 sqrt_3 two one * * / R_K * /
2.580e-16 | Len: 11 | G_0        | three half - half phi - two ^ / R_K /
2.580e-16 | Len: 09 | G_0        | pi pi half one R_K / / * /
2.580e-16 | Len: 09 | G_0        | one three phi * ^ half R_K * /
4.509e-15 | Len: 09 | G_0        | e_charge phi_0 two one + three / / /
7.511e-15 | Len: 05 | G_0        | one K_J * e_charge *
7.511e-15 | Len: 07 | G_0        | three two - K_J * e_charge *
7.511e-15 | Len: 11 | G_0        | K_J pi / e_charge * pi one one / * *
1.176e-14 | Len: 09 | G_0        | K_J phi_0 one ^ half / * R_K /
3.054e-12 | Len: 07 | G_0        | alpha two Z_0 two / / *
3.054e-12 | Len: 09 | G_0        | three two - three + Z_0 / alpha *
3.054e-12 | Len: 11 | G_0        | alpha three two half - / two + * Z_0 /
7.511e-15 | Len: 09 | K_J        | G_0 e_charge / half one two / / ^
7.511e-15 | Len: 07 | K_J        | sqrt_3 G_0 * e_charge sqrt_3 * /
7.640e-15 | Len: 09 | K_J        | two R_K h * / half ^ sqrt_2 *
7.769e-15 | Len: 09 | K_J        | three three e_charge * / R_K / two *
9.186e-15 | Len: 07 | K_J        | three R_K e_charge * phi_0 + /
1.202e-14 | Len: 05 | K_J        | three two - phi_0 /
1.202e-14 | Len: 07 | K_J        | one two + three / phi_0 /
1.202e-14 | Len: 07 | K_J        | one one pi ^ / phi_0 /
1.202e-14 | Len: 07 | K_J        | three one * phi_0 / three /
1.202e-14 | Len: 07 | K_J        | two one sqrt_3 ^ - phi_0 /
1.202e-14 | Len: 07 | K_J        | one sqrt_3 phi * ^ phi_0 /
1.202e-14 | Len: 11 | K_J        | three phi_0 / three half one - half / ^ *
1.202e-14 | Len: 09 | K_J        | one three ^ phi_0 / two * half *
1.202e-14 | Len: 09 | K_J        | sqrt_2 three sqrt_2 - two - + phi_0 /
1.202e-14 | Len: 09 | K_J        | one half ^ pi ^ three ^ phi_0 /
1.202e-14 | Len: 09 | K_J        | one three one / e_math - ^ phi_0 /
1.202e-14 | Len: 05 | K_J        | sqrt_2 sqrt_2 phi_0 * /
1.202e-14 | Len: 07 | K_J        | one pi phi - ^ phi_0 /
1.202e-14 | Len: 07 | K_J        | sqrt_2 phi_0 / half half ^ *
1.202e-14 | Len: 07 | K_J        | one half ^ sqrt_2 ^ phi_0 /
1.202e-14 | Len: 07 | K_J        | three half ^ phi_0 sqrt_3 * /
1.202e-14 | Len: 07 | K_J        | one e_math two + ^ phi_0 /
1.202e-14 | Len: 07 | K_J        | three two - e_math ^ phi_0 /
1.202e-14 | Len: 05 | K_J        | phi phi / phi_0 /
1.202e-14 | Len: 07 | K_J        | one sqrt_2 pi / ^ phi_0 /
1.202e-14 | Len: 09 | K_J        | two three half * * phi_0 / three /
1.202e-14 | Len: 11 | K_J        | three sqrt_2 three - + phi_0 / half half ^ *
1.202e-14 | Len: 07 | K_J        | sqrt_2 phi_0 / two sqrt_2 / /
1.202e-14 | Len: 09 | K_J        | one half phi sqrt_2 ^ / ^ phi_0 /
1.202e-14 | Len: 05 | K_J        | one sqrt_2 ^ phi_0 /
1.202e-14 | Len: 07 | K_J        | sqrt_3 two ^ three phi_0 * /
1.202e-14 | Len: 11 | K_J        | three half ^ phi_0 sqrt_3 * one pi ^ * /
3.041e-12 | Len: 11 | K_J        | Z_0 two / phi_0 one * / alpha R_K * /
3.061e-12 | Len: 11 | K_J        | two Z_0 / alpha two one / * e_charge / *
3.974e-06 | Len: 11 | K_J        | pi pi mu_pe / / mu_pe alpha + phi_0 * /
5.936e-05 | Len: 09 | K_J        | phi_0 g_e two alpha pi / + / ^
5.963e-05 | Len: 11 | K_J        | G alpha one one ^ phi + ^ ^ phi_0 /
2.580e-16 | Len: 07 | R_K        | two three - three + G_0 /
2.580e-16 | Len: 05 | R_K        | one half G_0 * /
2.580e-16 | Len: 05 | R_K        | one G_0 two / /
2.580e-16 | Len: 05 | R_K        | one one + G_0 /
2.580e-16 | Len: 05 | R_K        | sqrt_2 G_0 / sqrt_2 *
2.580e-16 | Len: 09 | R_K        | sqrt_2 one G_0 / * one / sqrt_2 *
2.580e-16 | Len: 07 | R_K        | three G_0 / three / half /
2.580e-16 | Len: 09 | R_K        | two half / G_0 / one / two /
2.580e-16 | Len: 09 | R_K        | two G_0 / half half + sqrt_2 ^ *
2.580e-16 | Len: 07 | R_K        | two one phi ^ G_0 / *
2.580e-16 | Len: 07 | R_K        | sqrt_3 sqrt_3 two - - G_0 /
2.580e-16 | Len: 09 | R_K        | one pi ^ sqrt_2 sqrt_2 * G_0 / *
2.580e-16 | Len: 09 | R_K        | one half half / phi ^ + G_0 /
2.580e-16 | Len: 07 | R_K        | half G_0 one three + / /
2.580e-16 | Len: 09 | R_K        | one pi three + ^ G_0 / half /
2.580e-16 | Len: 07 | R_K        | e_math half e_math * G_0 * /
2.580e-16 | Len: 07 | R_K        | three three + three / G_0 /
2.580e-16 | Len: 09 | R_K        | two G_0 / one pi three * ^ /
2.580e-16 | Len: 09 | R_K        | pi pi + one / G_0 pi * /
2.580e-16 | Len: 09 | R_K        | one sqrt_3 ^ three ^ half G_0 * /
2.580e-16 | Len: 11 | R_K        | one e_math ^ G_0 / half pi pi / * /
2.580e-16 | Len: 07 | R_K        | sqrt_2 three one - ^ G_0 /
2.580e-16 | Len: 11 | R_K        | one two sqrt_2 / ^ half one G_0 * * /
2.580e-16 | Len: 11 | R_K        | half two G_0 half one phi ^ / * / *
2.580e-16 | Len: 11 | R_K        | half G_0 one pi ^ / / two two * *
2.580e-16 | Len: 07 | R_K        | three pi pi / - G_0 /
2.580e-16 | Len: 07 | R_K        | one e_math ^ G_0 half * /
2.580e-16 | Len: 09 | R_K        | two G_0 / one phi e_math - ^ /
2.580e-16 | Len: 09 | R_K        | h one * e_charge three one - ^ /
2.580e-16 | Len: 09 | R_K        | two G_0 one pi phi - ^ * /
2.580e-16 | Len: 09 | R_K        | half half / phi ^ half / G_0 /
2.580e-16 | Len: 07 | R_K        | one three + G_0 two * /
2.580e-16 | Len: 09 | R_K        | half G_0 / two two three ^ / /
2.580e-16 | Len: 05 | R_K        | three one - G_0 /
2.580e-16 | Len: 05 | R_K        | sqrt_2 two ^ G_0 /
2.580e-16 | Len: 07 | R_K        | one sqrt_2 ^ two G_0 / *
2.580e-16 | Len: 09 | R_K        | one G_0 two pi - pi + / /
2.580e-16 | Len: 09 | R_K        | sqrt_3 two ^ half / G_0 three * /
2.580e-16 | Len: 07 | R_K        | phi phi + G_0 phi * /
2.580e-16 | Len: 09 | R_K        | one sqrt_2 ^ e_math ^ half G_0 * /
2.580e-16 | Len: 09 | R_K        | three G_0 / half / two one + /
2.580e-16 | Len: 07 | R_K        | sqrt_3 sqrt_3 / G_0 / half /
2.580e-16 | Len: 07 | R_K        | sqrt_2 half half ^ / G_0 /
2.580e-16 | Len: 07 | R_K        | one phi phi / + G_0 /
2.580e-16 | Len: 09 | R_K        | two pi pi / sqrt_2 ^ / G_0 /
2.580e-16 | Len: 09 | R_K        | one half sqrt_3 ^ ^ two G_0 / *
2.580e-16 | Len: 09 | R_K        | two G_0 one phi three * ^ / /
2.580e-16 | Len: 11 | R_K        | three three / pi half pi * / G_0 / *
2.580e-16 | Len: 11 | R_K        | half half / e_math pi / ^ G_0 / two *
2.580e-16 | Len: 09 | R_K        | three pi pi / - one G_0 / *
2.580e-16 | Len: 09 | R_K        | two G_0 one pi sqrt_3 / ^ ^ /
2.580e-16 | Len: 09 | R_K        | sqrt_2 half / sqrt_2 / G_0 / one ^
2.580e-16 | Len: 07 | R_K        | one e_math ^ two * G_0 /
2.580e-16 | Len: 09 | R_K        | one sqrt_2 sqrt_3 * ^ G_0 two / /
2.580e-16 | Len: 07 | R_K        | sqrt_3 sqrt_3 * one - G_0 /
1.759e-15 | Len: 07 | R_K        | one K_J / phi_0 + e_charge /
4.251e-15 | Len: 09 | R_K        | two three * e_charge phi_0 / three * /
4.251e-15 | Len: 09 | R_K        | phi_0 e_charge / half / sqrt_2 sqrt_2 / /
4.251e-15 | Len: 07 | R_K        | phi_0 sqrt_2 * sqrt_2 * e_charge /
4.251e-15 | Len: 09 | R_K        | sqrt_2 phi_0 e_charge / * sqrt_2 * one *
4.251e-15 | Len: 07 | R_K        | one half / e_charge phi_0 / /
4.251e-15 | Len: 11 | R_K        | two phi_0 * half half + one / * e_charge /
4.251e-15 | Len: 07 | R_K        | phi_0 e_charge / sqrt_2 two ^ *
4.251e-15 | Len: 09 | R_K        | one e_math ^ half e_charge phi_0 / * /
7.769e-15 | Len: 07 | R_K        | sqrt_2 K_J / sqrt_2 * e_charge /
7.769e-15 | Len: 09 | R_K        | three half half + - K_J / e_charge /
7.769e-15 | Len: 07 | R_K        | two K_J one * / e_charge /
7.769e-15 | Len: 09 | R_K        | two sqrt_2 / two ^ K_J e_charge * /
7.769e-15 | Len: 11 | R_K        | K_J two three - ^ one ^ half / e_charge /
1.176e-14 | Len: 09 | R_K        | two K_J G_0 one phi_0 * / / *
1.176e-14 | Len: 09 | R_K        | phi_0 phi_0 + K_J G_0 one * / *
4.776e-13 | Len: 09 | R_K        | one a_0 * lambda_C pi Z_0 * / /
6.363e-13 | Len: 09 | R_K        | lambda_C alpha pi r_e * / G_0 / *
1.114e-12 | Len: 09 | R_K        | a_0 alpha Z_0 * half * * r_e /
1.706e-12 | Len: 09 | R_K        | hbar mu_0 * half * r_e / m_e /
3.010e-12 | Len: 09 | R_K        | one c / alpha two epsilon_0 * * /
3.010e-12 | Len: 07 | R_K        | half c / epsilon_0 / alpha /
3.053e-12 | Len: 05 | R_K        | Z_0 half * alpha /
3.053e-12 | Len: 07 | R_K        | Z_0 one half alpha / * *
3.053e-12 | Len: 11 | R_K        | pi one Z_0 alpha / * * pi pi + /
3.053e-12 | Len: 11 | R_K        | one alpha / mu_0 one half / / * c *
3.053e-12 | Len: 09 | R_K        | mu_0 c alpha / * one one + /
3.053e-12 | Len: 11 | R_K        | hbar pi * one Z_0 h alpha * / * *
3.053e-12 | Len: 09 | R_K        | Z_0 alpha half / / half two * *
3.053e-12 | Len: 07 | R_K        | mu_0 c alpha / half * *
3.053e-12 | Len: 07 | R_K        | Z_0 three alpha * alpha - /
3.053e-12 | Len: 11 | R_K        | pi alpha two * Z_0 one pi / * / /
3.053e-12 | Len: 09 | R_K        | Z_0 one e_math ^ half * alpha / *
6.107e-12 | Len: 07 | R_K        | Z_0 alpha / two G_0 / -
7.771e-07 | Len: 09 | R_K        | two alpha e_math ^ - G_0 one ^ /
3.974e-06 | Len: 09 | R_K        | mu_pe alpha + G_0 mu_pe * two / /
5.070e-06 | Len: 09 | R_K        | pi phi / G_0 / two Z_0 * +
7.943e-06 | Len: 11 | R_K        | two G_0 / Z_0 mu_pe e_math + sqrt_2 - / +
1.331e-05 | Len: 09 | R_K        | one R_inf lambda_C * * two + G_0 /
1.331e-05 | Len: 09 | R_K        | r_e a_0 / two / two + G_0 /
1.883e-05 | Len: 09 | R_K        | lambda_C R_inf * sqrt_2 + G_0 / sqrt_2 *
4.311e-05 | Len: 11 | R_K        | one pi sqrt_2 a_0 r_e / / ^ + G_0 /
5.325e-05 | Len: 09 | R_K        | a_0 G_0 / half / a_0 r_e - /
6.808e-05 | Len: 11 | R_K        | two half / half mu_pe / + two / G_0 /
6.894e-05 | Len: 09 | R_K        | sqrt_2 g_p / mu_pe / two + G_0 /
8.668e-05 | Len: 09 | R_K        | two one mu_pe / pi / + G_0 /
1.600e-14 | Len: 09 | R_inf      | mu_0 half * E_h * h / Z_0 /
1.600e-14 | Len: 11 | R_inf      | E_h c / two * h three one + * /
8.740e-13 | Len: 09 | R_inf      | alpha a_0 pi * / three one + /
1.511e-12 | Len: 09 | R_inf      | r_e a_0 / two / one lambda_C * /
1.511e-12 | Len: 11 | R_inf      | half three / three a_0 / lambda_C r_e / / *
1.511e-12 | Len: 09 | R_inf      | r_e lambda_C / half * one ^ a_0 /
3.450e-12 | Len: 07 | R_inf      | alpha sqrt_2 / two ^ lambda_C /
3.450e-12 | Len: 09 | R_inf      | alpha alpha one one + lambda_C * / *
3.450e-12 | Len: 09 | R_inf      | alpha sqrt_2 / alpha lambda_C sqrt_2 * / *
3.450e-12 | Len: 09 | R_inf      | alpha three one - ^ two / lambda_C /
3.450e-12 | Len: 11 | R_inf      | half lambda_C alpha half three two / + ^ / /
3.450e-12 | Len: 09 | R_inf      | alpha alpha * lambda_C / three one - /
3.450e-12 | Len: 09 | R_inf      | alpha alpha * lambda_C two * one * /
3.450e-12 | Len: 09 | R_inf      | one alpha * alpha half lambda_C / * *
3.450e-12 | Len: 11 | R_inf      | half half ^ alpha sqrt_2 / alpha lambda_C / * *
3.450e-12 | Len: 09 | R_inf      | half alpha two ^ * one ^ lambda_C /
0.000e+00 | Len: 05 | Z_0        | mu_0 one ^ c *
0.000e+00 | Len: 09 | Z_0        | mu_0 c * one half pi - ^ ^
0.000e+00 | Len: 09 | Z_0        | mu_0 c * sqrt_2 half half - ^ /
0.000e+00 | Len: 11 | Z_0        | c mu_0 one pi half e_math - + ^ * *
0.000e+00 | Len: 11 | Z_0        | m_Pl G m_Pl hbar / * * one mu_0 / /
0.000e+00 | Len: 09 | Z_0        | half one / half + c * mu_0 *
0.000e+00 | Len: 09 | Z_0        | c mu_0 * one two sqrt_2 / ^ /
0.000e+00 | Len: 11 | Z_0        | three one + two - half c * * mu_0 *
0.000e+00 | Len: 07 | Z_0        | c mu_0 * half half + ^
0.000e+00 | Len: 09 | Z_0        | two one / two mu_0 c * / /
0.000e+00 | Len: 07 | Z_0        | pi c pi / * mu_0 *
0.000e+00 | Len: 11 | Z_0        | two pi half pi mu_0 c * / / * *
0.000e+00 | Len: 09 | Z_0        | c mu_0 * pi one ^ pi / ^
0.000e+00 | Len: 09 | Z_0        | c mu_0 * three two one * - /
0.000e+00 | Len: 09 | Z_0        | one half phi + ^ mu_0 c * *
1.816e-51 | Len: 09 | Z_0        | G m_Pl two ^ mu_0 * * hbar /
1.816e-51 | Len: 09 | Z_0        | sqrt_2 two ^ half mu_0 * * c *
1.202e-14 | Len: 11 | Z_0        | mu_0 c * K_J half phi_0 half * / / *
2.174e-14 | Len: 05 | Z_0        | mu_0 epsilon_0 / half ^
2.174e-14 | Len: 07 | Z_0        | mu_0 epsilon_0 / half one * ^
4.322e-14 | Len: 09 | Z_0        | R_K half * epsilon_0 G_0 c / / /
4.348e-14 | Len: 09 | Z_0        | two two / e_math ^ c epsilon_0 * /
4.348e-14 | Len: 09 | Z_0        | three two one + / epsilon_0 c * /
4.348e-14 | Len: 07 | Z_0        | sqrt_2 epsilon_0 c sqrt_2 * * /
4.348e-14 | Len: 11 | Z_0        | half half * three three - ^ c / epsilon_0 /
4.348e-14 | Len: 07 | Z_0        | three epsilon_0 c three * * /
4.348e-14 | Len: 09 | Z_0        | one one + c two * epsilon_0 * /
2.820e-12 | Len: 09 | Z_0        | mu_0 m_e alpha * / a_0 hbar / /
3.010e-12 | Len: 09 | Z_0        | half alpha R_K * epsilon_0 mu_0 / * /
3.041e-12 | Len: 09 | Z_0        | phi_0 alpha R_K K_J * * half / *
3.046e-12 | Len: 11 | Z_0        | R_K K_J * one * alpha * h * e_charge /
3.049e-12 | Len: 09 | Z_0        | two phi_0 * half / e_charge / alpha *
3.049e-12 | Len: 09 | Z_0        | alpha phi_0 phi_0 + half e_charge * / *
3.049e-12 | Len: 11 | Z_0        | phi_0 two e_charge alpha / two one / / / *
3.053e-12 | Len: 07 | Z_0        | R_K alpha * G_0 R_K * *
3.053e-12 | Len: 05 | Z_0        | alpha alpha + R_K *
3.053e-12 | Len: 05 | Z_0        | alpha R_K two * *
