Scanning Geometric Lattice [0 - 11000 MeV]...
====================================================================================================
 THE GEOMETRIC UNIVERSE: DISCOVERY SCAN (0 - 11000 MeV)
 Searching for stable geometric nodes and missing particles...
====================================================================================================
 THEORY(MeV)  | SCALE           | k    | STAB | STATUS               | MATCH/PREDICTION
----------------------------------------------------------------------------------------------------
 70.0         | MESON (A^-1)    | 1    | 60   | RESONANCE            | Possible Excited State
 104.1        | LEPTON (N)      | 1    | 90   | CONFIRMED            | Muon (Err: 1.5%)
 140.1        | MESON (A^-1)    | 2*   | 90   | CONFIRMED            | Pion+ (Err: 0.3%)
 156.4        | BARYON (Pi^5)   | 1    | 80   | PREDICTION           | ?? NEW CANDIDATE ??
 208.2        | LEPTON (N)      | 2*   | 80   | PREDICTION           | ?? NEW CANDIDATE ??
 210.1        | MESON (A^-1)    | 3*   | 90   | PREDICTION           | ?? NEW CANDIDATE ??
 280.1        | MESON (A^-1)    | 4    | 60   | RESONANCE            | Possible Excited State
 312.3        | LEPTON (N)      | 3*   | 80   | PREDICTION           | ?? NEW CANDIDATE ??
 312.8        | BARYON (Pi^5)   | 2*   | 110  | PREDICTION           | ?? NEW CANDIDATE ??
 350.1        | MESON (A^-1)    | 5*   | 90   | PREDICTION           | ?? NEW CANDIDATE ??
 416.5        | LEPTON (N)      | 4    | 50   | RESONANCE            | Possible Excited State
 420.2        | MESON (A^-1)    | 6    | 60   | RESONANCE            | Possible Excited State
 469.1        | BARYON (Pi^5)   | 3*   | 110  | PREDICTION           | ?? NEW CANDIDATE ??
 490.2        | MESON (A^-1)    | 7*   | 90   | CONFIRMED            | Kaon+ (Err: 0.7%)
 520.6        | LEPTON (N)      | 5*   | 80   | PREDICTION           | ?? NEW CANDIDATE ??
 560.2        | MESON (A^-1)    | 8    | 60   | CONFIRMED            | Eta (Err: 2.2%)
 624.7        | LEPTON (N)      | 6    | 50   | RESONANCE            | Possible Excited State
 625.5        | BARYON (Pi^5)   | 4    | 80   | PREDICTION           | ?? NEW CANDIDATE ??
 630.2        | MESON (A^-1)    | 9    | 60   | RESONANCE            | Possible Excited State
 728.8        | LEPTON (N)      | 7*   | 80   | PREDICTION           | ?? NEW CANDIDATE ??
