MASSIVE GALAXY AUDIT (SPARC DB)
================================================================================
GALAXY          | PTS   | ERR_NEWT   | ERR_GEOM   | IMPROVE
--------------------------------------------------------------------------------
UGC11914        | 65    | 18.37      | 33.06      | -80.0%
NGC1705         | 14    | 36.57      | 10.19      | 72.1%
UGC06667        | 9     | 44.07      | 13.22      | 70.0%
NGC6789         | 4     | 19.05      | 8.79       | 53.9%
NGC2841         | 50    | 73.82      | 9.43       | 87.2%
UGC07151        | 11    | 14.31      | 13.85      | 3.2%
NGC4389         | 6     | 56.31      | 79.89      | -41.9%
NGC3972         | 10    | 19.33      | 16.95      | 12.3%
NGC0055         | 21    | 19.69      | 24.03      | -22.1%
F563-V2         | 10    | 46.75      | 13.95      | 70.2%
UGC06614        | 13    | 42.49      | 55.57      | -30.8%
NGC2366         | 26    | 14.24      | 12.96      | 9.0%
CamB            | 9     | 4.24       | 18.31      | -332.0%
UGC06917        | 11    | 28.47      | 12.11      | 57.4%
F571-V1         | 7     | 31.25      | 11.48      | 63.3%
NGC3198         | 43    | 28.10      | 31.72      | -12.9%
NGC3992         | 9     | 47.21      | 36.08      | 23.6%
UGC07608        | 8     | 28.34      | 5.64       | 80.1%
NGC0024         | 29    | 29.51      | 7.57       | 74.4%
UGC05829        | 11    | 20.29      | 9.29       | 54.2%
UGC00731        | 12    | 35.84      | 9.00       | 74.9%
UGC11455        | 36    | 36.13      | 74.56      | -106.4%
NGC4010         | 12    | 15.73      | 29.36      | -86.6%
UGC09992        | 5     | 5.85       | 18.47      | -215.5%
F583-1          | 25    | 29.14      | 6.30       | 78.4%
NGC2403         | 73    | 26.77      | 14.08      | 47.4%
NGC0300         | 25    | 33.26      | 6.57       | 80.2%
NGC4214         | 14    | 30.49      | 7.23       | 76.3%
UGC08550        | 11    | 23.78      | 2.54       | 89.3%
UGC03580        | 47    | 35.64      | 41.30      | -15.9%
NGC0100         | 21    | 21.71      | 13.91      | 35.9%
ESO079-G014     | 15    | 24.32      | 19.21      | 21.0%
ESO116-G012     | 15    | 28.76      | 6.10       | 78.8%
UGCA444         | 36    | 13.25      | 3.87       | 70.8%
NGC2955         | 24    | 36.23      | 73.76      | -103.6%
UGC08286        | 17    | 35.33      | 3.45       | 90.2%
UGC06818        | 8     | 16.76      | 19.97      | -19.2%
UGC06628        | 7     | 6.61       | 40.41      | -511.4%
NGC6946         | 58    | 23.33      | 55.79      | -139.2%
UGC04278        | 25    | 24.29      | 6.82       | 71.9%
UGC07125        | 13    | 13.43      | 35.18      | -161.9%
