MASS (MeV)   | SCALE      | k    | TOPOLOGY        | LIFETIME (s) | STATUS
----------------------------------------------------------------------------------------------------
69.02        | MESON      | 1    | Sphere (-2.0)   | 2.2e-09      | PREDICTION (Stable)
69.51        | MESON      | 1    | Vector (-1.0)   | 4.4e-09      | PREDICTION (Stable)
69.77        | MESON      | 1    | Spinor (-0.5)   | 8.7e-09      | PREDICTION (Stable)
70.03        | MESON      | 1    | Perfect (0)     | STABLE       | PREDICTION (Stable)
70.28        | MESON      | 1    | Spinor (+0.5)   | 8.8e-09      | PREDICTION (Stable)
70.54        | MESON      | 1    | Vector (+1.0)   | 4.4e-09      | PREDICTION (Stable)
71.06        | MESON      | 1    | Sphere (+2.0)   | 2.2e-09      | PREDICTION (Stable)
102.62       | LEPTON     | 1    | Sphere (-2.0)   | 2.2e-06      | PREDICTION (Stable)
103.36       | LEPTON     | 1    | Vector (-1.0)   | 4.4e-06      | PREDICTION (Stable)
103.74       | LEPTON     | 1    | Spinor (-0.5)   | 8.7e-06      | PREDICTION (Stable)
104.12       | LEPTON     | 1    | Perfect (0)     | STABLE       | CONFIRMED [Muon]
104.50       | LEPTON     | 1    | Spinor (+0.5)   | 8.8e-06      | CONFIRMED [Muon]
104.88       | LEPTON     | 1    | Vector (+1.0)   | 4.4e-06      | CONFIRMED [Muon]
105.66       | LEPTON     | 1    | Sphere (+2.0)   | 2.2e-06      | CONFIRMED [Muon]
138.01       | MESON      | 2    | Sphere (-2.0)   | 6.9e-11      | CONFIRMED [Pion+]
139.03       | MESON      | 2    | Vector (-1.0)   | 1.4e-10      | CONFIRMED [Pion+]
139.54       | MESON      | 2    | Spinor (-0.5)   | 2.7e-10      | CONFIRMED [Pion+]
140.05       | MESON      | 2    | Perfect (0)     | STABLE       | CONFIRMED [Pion+]
140.56       | MESON      | 2    | Spinor (+0.5)   | 2.7e-10      | CONFIRMED [Pion+]
141.07       | MESON      | 2    | Vector (+1.0)   | 1.4e-10      | CONFIRMED [Pion+]
142.09       | MESON      | 2    | Sphere (+2.0)   | 7.0e-11      | PREDICTION (Stable)
154.13       | BARYON     | 1    | Sphere (-2.0)   | 2.2e-06      | PREDICTION (Stable)
155.23       | BARYON     | 1    | Vector (-1.0)   | 4.4e-06      | PREDICTION (Stable)
155.81       | BARYON     | 1    | Spinor (-0.5)   | 8.7e-06      | PREDICTION (Stable)
156.38       | BARYON     | 1    | Perfect (0)     | STABLE       | PREDICTION (Stable)
156.95       | BARYON     | 1    | Spinor (+0.5)   | 8.8e-06      | PREDICTION (Stable)
157.52       | BARYON     | 1    | Vector (+1.0)   | 4.4e-06      | PREDICTION (Stable)
158.69       | BARYON     | 1    | Sphere (+2.0)   | 2.2e-06      | PREDICTION (Stable)
205.19       | LEPTON     | 2    | Sphere (-2.0)   | 6.9e-08      | PREDICTION (Stable)
206.71       | LEPTON     | 2    | Vector (-1.0)   | 1.4e-07      | PREDICTION (Stable)
207.01       | MESON      | 3    | Sphere (-2.0)   | 9.0e-12      | PREDICTION (Stable)
207.47       | LEPTON     | 2    | Spinor (-0.5)   | 2.7e-07      | PREDICTION (Stable)
208.23       | LEPTON     | 2    | Perfect (0)     | STABLE       | PREDICTION (Stable)
208.54       | MESON      | 3    | Vector (-1.0)   | 1.8e-11      | PREDICTION (Stable)
208.99       | LEPTON     | 2    | Spinor (+0.5)   | 2.7e-07      | PREDICTION (Stable)
209.31       | MESON      | 3    | Spinor (-0.5)   | 3.6e-11      | PREDICTION (Stable)
209.75       | LEPTON     | 2    | Vector (+1.0)   | 1.4e-07      | PREDICTION (Stable)
210.08       | MESON      | 3    | Perfect (0)     | STABLE       | PREDICTION (Stable)
210.84       | MESON      | 3    | Spinor (+0.5)   | 3.6e-11      | PREDICTION (Stable)
211.27       | LEPTON     | 2    | Sphere (+2.0)   | 7.0e-08      | PREDICTION (Stable)
211.61       | MESON      | 3    | Vector (+1.0)   | 1.8e-11      | PREDICTION (Stable)
213.14       | MESON      | 3    | Sphere (+2.0)   | 9.2e-12      | PREDICTION (Stable)
276.01       | MESON      | 4    | Sphere (-2.0)   | 2.1e-12      | PREDICTION (Stable)
278.06       | MESON      | 4    | Vector (-1.0)   | 4.3e-12      | PREDICTION (Stable)
279.08       | MESON      | 4    | Spinor (-0.5)   | 8.5e-12      | PREDICTION (Stable)
280.10       | MESON      | 4    | Perfect (0)     | STABLE       | PREDICTION (Stable)
281.12       | MESON      | 4    | Spinor (+0.5)   | 8.6e-12      | PREDICTION (Stable)
282.15       | MESON      | 4    | Vector (+1.0)   | 4.3e-12      | PREDICTION (Stable)
284.19       | MESON      | 4    | Sphere (+2.0)   | 2.2e-12      | PREDICTION (Stable)
307.79       | LEPTON     | 3    | Sphere (-2.0)   | 9.0e-09      | PREDICTION (Stable)
308.19       | BARYON     | 2    | Sphere (-2.0)   | 6.9e-08      | PREDICTION (Stable)
310.07       | LEPTON     | 3    | Vector (-1.0)   | 1.8e-08      | PREDICTION (Stable)
310.47       | BARYON     | 2    | Vector (-1.0)   | 1.4e-07      | PREDICTION (Stable)
311.21       | LEPTON     | 3    | Spinor (-0.5)   | 3.6e-08      | PREDICTION (Stable)
311.61       | BARYON     | 2    | Spinor (-0.5)   | 2.7e-07      | PREDICTION (Stable)
312.35       | LEPTON     | 3    | Perfect (0)     | STABLE       | PREDICTION (Stable)
312.75       | BARYON     | 2    | Perfect (0)     | STABLE       | PREDICTION (Stable)
313.49       | LEPTON     | 3    | Spinor (+0.5)   | 3.6e-08      | PREDICTION (Stable)
313.89       | BARYON     | 2    | Spinor (+0.5)   | 2.7e-07      | PREDICTION (Stable)
314.63       | LEPTON     | 3    | Vector (+1.0)   | 1.8e-08      | PREDICTION (Stable)
315.03       | BARYON     | 2    | Vector (+1.0)   | 1.4e-07      | PREDICTION (Stable)
316.91       | LEPTON     | 3    | Sphere (+2.0)   | 9.2e-09      | PREDICTION (Stable)
317.32       | BARYON     | 2    | Sphere (+2.0)   | 7.0e-08      | PREDICTION (Stable)
345.02       | MESON      | 5    | Sphere (-2.0)   | 7.0e-13      | PREDICTION (Resonance)
347.57       | MESON      | 5    | Vector (-1.0)   | 1.4e-12      | PREDICTION (Stable)
348.85       | MESON      | 5    | Spinor (-0.5)   | 2.8e-12      | PREDICTION (Stable)
350.13       | MESON      | 5    | Perfect (0)     | STABLE       | PREDICTION (Stable)
351.40       | MESON      | 5    | Spinor (+0.5)   | 2.8e-12      | PREDICTION (Stable)
352.68       | MESON      | 5    | Vector (+1.0)   | 1.4e-12      | PREDICTION (Stable)
355.24       | MESON      | 5    | Sphere (+2.0)   | 7.1e-13      | PREDICTION (Resonance)
410.39       | LEPTON     | 4    | Sphere (-2.0)   | 2.1e-09      | PREDICTION (Stable)
413.43       | LEPTON     | 4    | Vector (-1.0)   | 4.3e-09      | PREDICTION (Stable)
414.95       | LEPTON     | 4    | Spinor (-0.5)   | 8.5e-09      | PREDICTION (Stable)
416.47       | LEPTON     | 4    | Perfect (0)     | STABLE       | PREDICTION (Stable)
417.98       | LEPTON     | 4    | Spinor (+0.5)   | 8.6e-09      | PREDICTION (Stable)
418.62       | MESON      | 6    | Spinor (-0.5)   | 1.1e-12      | PREDICTION (Stable)
419.50       | LEPTON     | 4    | Vector (+1.0)   | 4.3e-09      | PREDICTION (Stable)
420.15       | MESON      | 6    | Perfect (0)     | STABLE       | PREDICTION (Stable)
421.68       | MESON      | 6    | Spinor (+0.5)   | 1.1e-12      | PREDICTION (Stable)
422.54       | LEPTON     | 4    | Sphere (+2.0)   | 2.2e-09      | PREDICTION (Stable)
462.28       | BARYON     | 3    | Sphere (-2.0)   | 9.0e-09      | PREDICTION (Stable)
465.70       | BARYON     | 3    | Vector (-1.0)   | 1.8e-08      | PREDICTION (Stable)
467.42       | BARYON     | 3    | Spinor (-0.5)   | 3.6e-08      | PREDICTION (Stable)
469.13       | BARYON     | 3    | Perfect (0)     | STABLE       | PREDICTION (Stable)
470.84       | BARYON     | 3    | Spinor (+0.5)   | 3.6e-08      | PREDICTION (Stable)
472.55       | BARYON     | 3    | Vector (+1.0)   | 1.8e-08      | PREDICTION (Stable)
475.97       | BARYON     | 3    | Sphere (+2.0)   | 9.2e-09      | PREDICTION (Stable)
483.02       | MESON      | 7    | Sphere (-2.0)   | 1.3e-13      | PREDICTION (Resonance)
486.60       | MESON      | 7    | Vector (-1.0)   | 2.6e-13      | CONFIRMED [Kaon+]
488.39       | MESON      | 7    | Spinor (-0.5)   | 5.2e-13      | CONFIRMED [Kaon+]
490.18       | MESON      | 7    | Perfect (0)     | STABLE       | CONFIRMED [Kaon+]
491.97       | MESON      | 7    | Spinor (+0.5)   | 5.2e-13      | CONFIRMED [Kaon+]
493.75       | MESON      | 7    | Vector (+1.0)   | 2.6e-13      | CONFIRMED [Kaon+]
497.33       | MESON      | 7    | Sphere (+2.0)   | 1.3e-13      | CONFIRMED [Kaon+]
512.98       | LEPTON     | 5    | Sphere (-2.0)   | 7.0e-10      | PREDICTION (Stable)
516.78       | LEPTON     | 5    | Vector (-1.0)   | 1.4e-09      | PREDICTION (Stable)
518.68       | LEPTON     | 5    | Spinor (-0.5)   | 2.8e-09      | PREDICTION (Stable)
520.58       | LEPTON     | 5    | Perfect (0)     | STABLE       | PREDICTION (Stable)
522.48       | LEPTON     | 5    | Spinor (+0.5)   | 2.8e-09      | PREDICTION (Stable)
524.38       | LEPTON     | 5    | Vector (+1.0)   | 1.4e-09      | PREDICTION (Stable)
528.18       | LEPTON     | 5    | Sphere (+2.0)   | 7.1e-10      | PREDICTION (Stable)
552.03       | MESON      | 8    | Sphere (-2.0)   | 6.7e-14      | CONFIRMED [Eta]
560.20       | MESON      | 8    | Perfect (0)     | STABLE       | PREDICTION (Stable)
615.58       | LEPTON     | 6    | Sphere (-2.0)   | 2.8e-10      | PREDICTION (Stable)
616.37       | BARYON     | 4    | Sphere (-2.0)   | 2.1e-09      | PREDICTION (Stable)
620.14       | LEPTON     | 6    | Vector (-1.0)   | 5.6e-10      | PREDICTION (Stable)
620.94       | BARYON     | 4    | Vector (-1.0)   | 4.3e-09      | PREDICTION (Stable)
622.42       | LEPTON     | 6    | Spinor (-0.5)   | 1.1e-09      | PREDICTION (Stable)
623.22       | BARYON     | 4    | Spinor (-0.5)   | 8.5e-09      | PREDICTION (Stable)
624.70       | LEPTON     | 6    | Perfect (0)     | STABLE       | PREDICTION (Stable)
625.50       | BARYON     | 4    | Perfect (0)     | STABLE       | PREDICTION (Stable)
626.98       | LEPTON     | 6    | Spinor (+0.5)   | 1.1e-09      | PREDICTION (Stable)
627.79       | BARYON     | 4    | Spinor (+0.5)   | 8.6e-09      | PREDICTION (Stable)
629.26       | LEPTON     | 6    | Vector (+1.0)   | 5.7e-10      | PREDICTION (Stable)
630.07       | BARYON     | 4    | Vector (+1.0)   | 4.3e-09      | PREDICTION (Stable)
630.23       | MESON      | 9    | Perfect (0)     | STABLE       | PREDICTION (Stable)
633.82       | LEPTON     | 6    | Sphere (+2.0)   | 2.9e-10      | PREDICTION (Stable)
634.63       | BARYON     | 4    | Sphere (+2.0)   | 2.2e-09      | PREDICTION (Stable)
700.25       | MESON      | 10   | Perfect (0)     | STABLE       | PREDICTION (Stable)
718.18       | LEPTON     | 7    | Sphere (-2.0)   | 1.3e-10      | PREDICTION (Stable)
723.50       | LEPTON     | 7    | Vector (-1.0)   | 2.6e-10      | PREDICTION (Stable)
726.15       | LEPTON     | 7    | Spinor (-0.5)   | 5.2e-10      | PREDICTION (Stable)
728.81       | LEPTON     | 7    | Perfect (0)     | STABLE       | PREDICTION (Stable)
731.47       | LEPTON     | 7    | Spinor (+0.5)   | 5.2e-10      | PREDICTION (Stable)
734.13       | LEPTON     | 7    | Vector (+1.0)   | 2.6e-10      | PREDICTION (Stable)
739.45       | LEPTON     | 7    | Sphere (+2.0)   | 1.3e-10      | PREDICTION (Stable)
759.04       | MESON      | 11   | Sphere (-2.0)   | 1.4e-14      | PREDICTION (Resonance)
764.66       | MESON      | 11   | Vector (-1.0)   | 2.7e-14      | CONFIRMED [Rho]
767.47       | MESON      | 11   | Spinor (-0.5)   | 5.4e-14      | CONFIRMED [Rho]
770.28       | MESON      | 11   | Perfect (0)     | STABLE       | CONFIRMED [Rho]
770.47       | BARYON     | 5    | Sphere (-2.0)   | 7.0e-10      | CONFIRMED [Rho]
773.09       | MESON      | 11   | Spinor (+0.5)   | 5.4e-14      | CONFIRMED [Rho]
775.90       | MESON      | 11   | Vector (+1.0)   | 2.7e-14      | CONFIRMED [Rho]
776.17       | BARYON     | 5    | Vector (-1.0)   | 1.4e-09      | CONFIRMED [Rho]
779.03       | BARYON     | 5    | Spinor (-0.5)   | 2.8e-09      | CONFIRMED [Omega]
781.52       | MESON      | 11   | Sphere (+2.0)   | 1.4e-14      | CONFIRMED [Omega]
781.88       | BARYON     | 5    | Perfect (0)     | STABLE       | CONFIRMED [Omega]
784.73       | BARYON     | 5    | Spinor (+0.5)   | 2.8e-09      | CONFIRMED [Omega]
787.58       | BARYON     | 5    | Vector (+1.0)   | 1.4e-09      | CONFIRMED [Omega]
793.29       | BARYON     | 5    | Sphere (+2.0)   | 7.1e-10      | CONFIRMED [Omega]
820.77       | LEPTON     | 8    | Sphere (-2.0)   | 6.7e-11      | PREDICTION (Stable)
826.85       | LEPTON     | 8    | Vector (-1.0)   | 1.3e-10      | PREDICTION (Stable)
829.89       | LEPTON     | 8    | Spinor (-0.5)   | 2.7e-10      | PREDICTION (Stable)
832.93       | LEPTON     | 8    | Perfect (0)     | STABLE       | PREDICTION (Stable)
835.97       | LEPTON     | 8    | Spinor (+0.5)   | 2.7e-10      | PREDICTION (Stable)
839.01       | LEPTON     | 8    | Vector (+1.0)   | 1.3e-10      | PREDICTION (Stable)
840.30       | MESON      | 12   | Perfect (0)     | STABLE       | PREDICTION (Stable)
845.09       | LEPTON     | 8    | Sphere (+2.0)   | 6.8e-11      | PREDICTION (Stable)
897.04       | MESON      | 13   | Sphere (-2.0)   | 5.9e-15      | PREDICTION (Resonance)
903.69       | MESON      | 13   | Vector (-1.0)   | 1.2e-14      | PREDICTION (Resonance)
907.01       | MESON      | 13   | Spinor (-0.5)   | 2.4e-14      | PREDICTION (Resonance)
910.33       | MESON      | 13   | Perfect (0)     | STABLE       | PREDICTION (Stable)
913.65       | MESON      | 13   | Spinor (+0.5)   | 2.4e-14      | PREDICTION (Resonance)
916.97       | MESON      | 13   | Vector (+1.0)   | 1.2e-14      | PREDICTION (Resonance)
923.37       | LEPTON     | 9    | Sphere (-2.0)   | 3.7e-11      | PREDICTION (Stable)
923.61       | MESON      | 13   | Sphere (+2.0)   | 6.0e-15      | PREDICTION (Resonance)
924.56       | BARYON     | 6    | Sphere (-2.0)   | 2.8e-10      | CONFIRMED [Proton]
930.21       | LEPTON     | 9    | Vector (-1.0)   | 7.4e-11      | CONFIRMED [Proton]
931.41       | BARYON     | 6    | Vector (-1.0)   | 5.6e-10      | CONFIRMED [Proton]
933.63       | LEPTON     | 9    | Spinor (-0.5)   | 1.5e-10      | CONFIRMED [Proton]
934.83       | BARYON     | 6    | Spinor (-0.5)   | 1.1e-09      | CONFIRMED [Proton]
937.05       | LEPTON     | 9    | Perfect (0)     | STABLE       | CONFIRMED [Proton]
938.25       | BARYON     | 6    | Perfect (0)     | STABLE       | CONFIRMED [Proton]
940.47       | LEPTON     | 9    | Spinor (+0.5)   | 1.5e-10      | CONFIRMED [Neutron]
941.68       | BARYON     | 6    | Spinor (+0.5)   | 1.1e-09      | CONFIRMED [Neutron]
943.88       | LEPTON     | 9    | Vector (+1.0)   | 7.5e-11      | CONFIRMED [Neutron]
945.10       | BARYON     | 6    | Vector (+1.0)   | 5.7e-10      | CONFIRMED [Neutron]
950.72       | LEPTON     | 9    | Sphere (+2.0)   | 3.8e-11      | CONFIRMED [Neutron]
951.95       | BARYON     | 6    | Sphere (+2.0)   | 2.9e-10      | CONFIRMED [Neutron]
980.35       | MESON      | 14   | Perfect (0)     | STABLE       | PREDICTION (Stable)
1025.97      | LEPTON     | 10   | Sphere (-2.0)   | 2.2e-11      | CONFIRMED [Phi]
1033.57      | LEPTON     | 10   | Vector (-1.0)   | 4.4e-11      | CONFIRMED [Phi]
1037.36      | LEPTON     | 10   | Spinor (-0.5)   | 8.7e-11      | PREDICTION (Stable)
1041.16      | LEPTON     | 10   | Perfect (0)     | STABLE       | PREDICTION (Stable)
1044.96      | LEPTON     | 10   | Spinor (+0.5)   | 8.8e-11      | PREDICTION (Stable)
1048.76      | LEPTON     | 10   | Vector (+1.0)   | 4.4e-11      | PREDICTION (Stable)
1050.38      | MESON      | 15   | Perfect (0)     | STABLE       | PREDICTION (Stable)
1056.36      | LEPTON     | 10   | Sphere (+2.0)   | 2.2e-11      | PREDICTION (Stable)
1078.65      | BARYON     | 7    | Sphere (-2.0)   | 1.3e-10      | PREDICTION (Stable)
1086.64      | BARYON     | 7    | Vector (-1.0)   | 2.6e-10      | PREDICTION (Stable)
1090.64      | BARYON     | 7    | Spinor (-0.5)   | 5.2e-10      | PREDICTION (Stable)
1094.63      | BARYON     | 7    | Perfect (0)     | STABLE       | PREDICTION (Stable)
1098.62      | BARYON     | 7    | Spinor (+0.5)   | 5.2e-10      | PREDICTION (Stable)
1102.62      | BARYON     | 7    | Vector (+1.0)   | 2.6e-10      | CONFIRMED [Lambda]
1104.05      | MESON      | 16   | Sphere (-2.0)   | 2.1e-15      | CONFIRMED [Lambda]
1110.61      | BARYON     | 7    | Sphere (+2.0)   | 1.3e-10      | CONFIRMED [Lambda]
1112.23      | MESON      | 16   | Vector (-1.0)   | 4.2e-15      | CONFIRMED [Lambda]
1116.32      | MESON      | 16   | Spinor (-0.5)   | 8.3e-15      | CONFIRMED [Lambda]
1120.40      | MESON      | 16   | Perfect (0)     | STABLE       | CONFIRMED [Lambda]
1124.49      | MESON      | 16   | Spinor (+0.5)   | 8.4e-15      | CONFIRMED [Lambda]
1128.56      | LEPTON     | 11   | Sphere (-2.0)   | 1.4e-11      | CONFIRMED [Lambda]
1128.58      | MESON      | 16   | Vector (+1.0)   | 4.2e-15      | CONFIRMED [Lambda]
1136.92      | LEPTON     | 11   | Vector (-1.0)   | 2.7e-11      | PREDICTION (Stable)
1141.10      | LEPTON     | 11   | Spinor (-0.5)   | 5.4e-11      | PREDICTION (Stable)
1145.28      | LEPTON     | 11   | Perfect (0)     | STABLE       | PREDICTION (Stable)
1149.46      | LEPTON     | 11   | Spinor (+0.5)   | 5.4e-11      | PREDICTION (Stable)
1153.64      | LEPTON     | 11   | Vector (+1.0)   | 2.7e-11      | PREDICTION (Stable)
1161.99      | LEPTON     | 11   | Sphere (+2.0)   | 1.4e-11      | PREDICTION (Stable)
1173.06      | MESON      | 17   | Sphere (-2.0)   | 1.5e-15      | CONFIRMED [Sigma]
1181.74      | MESON      | 17   | Vector (-1.0)   | 3.1e-15      | CONFIRMED [Sigma]
1186.09      | MESON      | 17   | Spinor (-0.5)   | 6.2e-15      | CONFIRMED [Sigma]
1190.43      | MESON      | 17   | Perfect (0)     | STABLE       | CONFIRMED [Sigma]
1194.77      | MESON      | 17   | Spinor (+0.5)   | 6.2e-15      | CONFIRMED [Sigma]
1199.12      | MESON      | 17   | Vector (+1.0)   | 3.1e-15      | CONFIRMED [Sigma]
1207.80      | MESON      | 17   | Sphere (+2.0)   | 1.6e-15      | PREDICTION (Resonance)
1231.16      | LEPTON     | 12   | Sphere (-2.0)   | 8.8e-12      | PREDICTION (Stable)
1232.75      | BARYON     | 8    | Sphere (-2.0)   | 6.7e-11      | PREDICTION (Stable)
1240.28      | LEPTON     | 12   | Vector (-1.0)   | 1.8e-11      | PREDICTION (Stable)
1241.88      | BARYON     | 8    | Vector (-1.0)   | 1.3e-10      | PREDICTION (Stable)
1244.84      | LEPTON     | 12   | Spinor (-0.5)   | 3.5e-11      | PREDICTION (Stable)
1246.44      | BARYON     | 8    | Spinor (-0.5)   | 2.7e-10      | PREDICTION (Stable)
1249.40      | LEPTON     | 12   | Perfect (0)     | STABLE       | PREDICTION (Stable)
1251.01      | BARYON     | 8    | Perfect (0)     | STABLE       | PREDICTION (Stable)
1253.95      | LEPTON     | 12   | Spinor (+0.5)   | 3.5e-11      | PREDICTION (Stable)
1255.57      | BARYON     | 8    | Spinor (+0.5)   | 2.7e-10      | PREDICTION (Stable)
1258.51      | LEPTON     | 12   | Vector (+1.0)   | 1.8e-11      | PREDICTION (Stable)
1260.13      | BARYON     | 8    | Vector (+1.0)   | 1.3e-10      | PREDICTION (Stable)
1260.45      | MESON      | 18   | Perfect (0)     | STABLE       | PREDICTION (Stable)
1267.63      | LEPTON     | 12   | Sphere (+2.0)   | 9.0e-12      | PREDICTION (Stable)
1269.26      | BARYON     | 8    | Sphere (+2.0)   | 6.8e-11      | PREDICTION (Stable)
1311.06      | MESON      | 19   | Sphere (-2.0)   | 8.9e-16      | PREDICTION (Resonance)
1320.77      | MESON      | 19   | Vector (-1.0)   | 1.8e-15      | PREDICTION (Resonance)
1325.63      | MESON      | 19   | Spinor (-0.5)   | 3.5e-15      | PREDICTION (Resonance)
1330.48      | MESON      | 19   | Perfect (0)     | STABLE       | PREDICTION (Stable)
