AUDIT GEOMETRICKÉ TEORIE - 175 GALAXIÍ
============================================================
UGC11914: Newton Err=20.22, Geom Err=34.86, Zlepšení=-72.4%
NGC1705: Newton Err=38.07, Geom Err=10.45, Zlepšení=72.5%
UGC06667: Newton Err=45.28, Geom Err=13.81, Zlepšení=69.5%
NGC6789: Newton Err=22.35, Geom Err=12.25, Zlepšení=45.2%
NGC2841: Newton Err=87.87, Geom Err=12.62, Zlepšení=85.6%
UGC07151: Newton Err=15.64, Geom Err=14.28, Zlepšení=8.7%
NGC4389: Newton Err=57.40, Geom Err=80.30, Zlepšení=-39.9%
NGC3972: Newton Err=21.17, Geom Err=17.83, Zlepšení=15.8%
NGC0055: Newton Err=22.25, Geom Err=24.24, Zlepšení=-8.9%
F563-V2: Newton Err=51.07, Geom Err=16.56, Zlepšení=67.6%
UGC06614: Newton Err=50.75, Geom Err=58.47, Zlepšení=-15.2%
NGC2366: Newton Err=16.36, Geom Err=13.40, Zlepšení=18.1%
CamB: Newton Err=4.62, Geom Err=18.74, Zlepšení=-305.9%
UGC06917: Newton Err=30.60, Geom Err=12.53, Zlepšení=59.1%
F571-V1: Newton Err=33.70, Geom Err=11.77, Zlepšení=65.1%
NGC3198: Newton Err=37.61, Geom Err=32.22, Zlepšení=14.3%
NGC3992: Newton Err=51.50, Geom Err=37.15, Zlepšení=27.9%
UGC07608: Newton Err=30.64, Geom Err=6.08, Zlepšení=80.2%
NGC0024: Newton Err=32.60, Geom Err=8.18, Zlepšení=74.9%
UGC05829: Newton Err=21.01, Geom Err=10.34, Zlepšení=50.8%
UGC00731: Newton Err=36.17, Geom Err=9.71, Zlepšení=73.2%
UGC11455: Newton Err=39.82, Geom Err=76.53, Zlepšení=-92.2%
NGC4010: Newton Err=17.71, Geom Err=30.76, Zlepšení=-73.7%
UGC09992: Newton Err=5.89, Geom Err=19.51, Zlepšení=-231.3%
F583-1: Newton Err=32.94, Geom Err=7.96, Zlepšení=75.8%
NGC2403: Newton Err=37.90, Geom Err=17.33, Zlepšení=54.3%
NGC0300: Newton Err=36.12, Geom Err=7.81, Zlepšení=78.4%
NGC4214: Newton Err=33.48, Geom Err=8.09, Zlepšení=75.8%
UGC08550: Newton Err=25.00, Geom Err=3.15, Zlepšení=87.4%
UGC03580: Newton Err=39.24, Geom Err=45.24, Zlepšení=-15.3%
NGC0100: Newton Err=26.63, Geom Err=15.00, Zlepšení=43.7%
ESO079-G014: Newton Err=28.89, Geom Err=21.13, Zlepšení=26.9%
ESO116-G012: Newton Err=34.26, Geom Err=8.49, Zlepšení=75.2%
UGCA444: Newton Err=14.06, Geom Err=4.42, Zlepšení=68.6%
NGC2955: Newton Err=44.14, Geom Err=76.81, Zlepšení=-74.0%
UGC08286: Newton Err=36.68, Geom Err=4.51, Zlepšení=87.7%
UGC06818: Newton Err=20.18, Geom Err=21.96, Zlepšení=-8.8%
UGC06628: Newton Err=8.08, Geom Err=42.80, Zlepšení=-430.0%
NGC6946: Newton Err=27.30, Geom Err=56.25, Zlepšení=-106.1%
UGC04278: Newton Err=28.39, Geom Err=7.86, Zlepšení=72.3%
UGC07125: Newton Err=14.70, Geom Err=35.97, Zlepšení=-144.7%
UGC11820: Newton Err=27.35, Geom Err=9.74, Zlepšení=64.4%
UGC03205: Newton Err=33.68, Geom Err=31.31, Zlepšení=7.0%
UGC12632: Newton Err=28.54, Geom Err=10.37, Zlepšení=63.7%
UGCA281: Newton Err=6.73, Geom Err=6.24, Zlepšení=7.3%
UGC00634: Newton Err=48.76, Geom Err=7.46, Zlepšení=84.7%
F574-2: Newton Err=6.09, Geom Err=46.37, Zlepšení=-661.3%
UGC05721: Newton Err=36.99, Geom Err=11.58, Zlepšení=68.7%
NGC5585: Newton Err=24.18, Geom Err=17.98, Zlepšení=25.6%
UGC08699: Newton Err=38.29, Geom Err=33.64, Zlepšení=12.1%
UGC05750: Newton Err=20.79, Geom Err=21.19, Zlepšení=-1.9%
NGC5907: Newton Err=43.26, Geom Err=48.66, Zlepšení=-12.5%
NGC3917: Newton Err=26.01, Geom Err=22.99, Zlepšení=11.6%
NGC3953: Newton Err=18.27, Geom Err=60.21, Zlepšení=-229.6%
UGC11557: Newton Err=20.58, Geom Err=52.94, Zlepšení=-157.3%
UGC02259: Newton Err=39.10, Geom Err=6.81, Zlepšení=82.6%
NGC4100: Newton Err=29.36, Geom Err=33.68, Zlepšení=-14.7%
UGC06973: Newton Err=88.39, Geom Err=103.87, Zlepšení=-17.5%
NGC0801: Newton Err=37.74, Geom Err=80.86, Zlepšení=-114.2%
NGC7814: Newton Err=53.45, Geom Err=33.43, Zlepšení=37.5%
UGC02487: Newton Err=109.57, Geom Err=8.76, Zlepšení=92.0%
F561-1: Newton Err=4.42, Geom Err=42.01, Zlepšení=-849.7%
UGC05764: Newton Err=27.96, Geom Err=7.47, Zlepšení=73.3%
UGC02953: Newton Err=62.17, Geom Err=52.14, Zlepšení=16.1%
UGC05414: Newton Err=12.49, Geom Err=14.71, Zlepšení=-17.8%
UGC08490: Newton Err=38.25, Geom Err=2.78, Zlepšení=92.7%
UGC01281: Newton Err=18.56, Geom Err=6.03, Zlepšení=67.5%
NGC4157: Newton Err=40.01, Geom Err=67.74, Zlepšení=-69.3%
UGC10310: Newton Err=22.51, Geom Err=13.19, Zlepšení=41.4%
UGC09037: Newton Err=31.13, Geom Err=68.33, Zlepšení=-119.5%
NGC6674: Newton Err=77.69, Geom Err=26.11, Zlepšení=66.4%
NGC3741: Newton Err=25.08, Geom Err=4.06, Zlepšení=83.8%
NGC2915: Newton Err=48.76, Geom Err=18.40, Zlepšení=62.3%
