FREQ       | RATIO      | MAX_S      | RESULT
--------------------------------------------------
100.0000   | 0.72974    | 0.99989    | ALIVE !!!
100.0100   | 0.72981    | 0.99995    | ALIVE !!!
100.0200   | 0.72988    | 0.99990    | ALIVE !!!
100.0300   | 0.72995    | 0.99998    | ALIVE !!!
100.0400   | 0.73003    | 0.99955    | ALIVE !!!
100.0500   | 0.73010    | 0.99970    | ALIVE !!!
100.0600   | 0.73017    | 0.99985    | ALIVE !!!
100.0700   | 0.73025    | 0.99985    | ALIVE !!!
100.0800   | 0.73032    | 0.99988    | ALIVE !!!
100.0900   | 0.73039    | 0.99999    | ALIVE !!!
100.1000   | 0.73047    | 0.99990    | ALIVE !!!
100.1100   | 0.73054    | 0.99989    | ALIVE !!!
100.1200   | 0.73061    | 0.99996    | ALIVE !!!
100.1300   | 0.73068    | 0.99982    | ALIVE !!!
100.1400   | 0.73076    | 0.99998    | ALIVE !!!
100.1500   | 0.73083    | 0.99993    | ALIVE !!!
100.1600   | 0.73090    | 0.99970    | ALIVE !!!
100.1700   | 0.73098    | 0.99978    | ALIVE !!!
100.1800   | 0.73105    | 0.99953    | ALIVE !!!
100.1900   | 0.73112    | 0.99981    | ALIVE !!!
100.2000   | 0.73119    | 1.00000    | ALIVE !!!
100.2100   | 0.73127    | 0.99977    | ALIVE !!!
100.2200   | 0.73134    | 0.99991    | ALIVE !!!
100.2300   | 0.73141    | 0.99973    | ALIVE !!!
100.2400   | 0.73149    | 0.99988    | ALIVE !!!
100.2500   | 0.73156    | 0.99991    | ALIVE !!!
100.2600   | 0.73163    | 0.99995    | ALIVE !!!
100.2700   | 0.73171    | 0.99994    | ALIVE !!!
100.2800   | 0.73178    | 0.99997    | ALIVE !!!
100.2900   | 0.73185    | 0.99995    | ALIVE !!!
100.3000   | 0.73192    | 0.99996    | ALIVE !!!
100.3100   | 0.73200    | 0.99985    | ALIVE !!!
100.3200   | 0.73207    | 0.99993    | ALIVE !!!
100.3300   | 0.73214    | 0.99984    | ALIVE !!!
100.3400   | 0.73222    | 0.99983    | ALIVE !!!
100.3500   | 0.73229    | 0.99973    | ALIVE !!!
100.3600   | 0.73236    | 0.99972    | ALIVE !!!
100.3700   | 0.73244    | 0.99998    | ALIVE !!!
100.3800   | 0.73251    | 0.99968    | ALIVE !!!
100.3900   | 0.73258    | 0.99975    | ALIVE !!!
100.4000   | 0.73265    | 1.00000    | ALIVE !!!
100.4100   | 0.73273    | 0.99994    | ALIVE !!!
100.4200   | 0.73280    | 0.99999    | ALIVE !!!
100.4300   | 0.73287    | 0.99994    | ALIVE !!!
100.4400   | 0.73295    | 0.99995    | ALIVE !!!
100.4500   | 0.73302    | 0.99999    | ALIVE !!!
100.4600   | 0.73309    | 0.99983    | ALIVE !!!
100.4700   | 0.73317    | 0.99992    | ALIVE !!!
100.4800   | 0.73324    | 0.99985    | ALIVE !!!
100.4900   | 0.73331    | 0.99782    | ALIVE !!!
100.5000   | 0.73338    | 0.99991    | ALIVE !!!
100.5100   | 0.73346    | 0.99991    | ALIVE !!!
100.5200   | 0.73353    | 0.99981    | ALIVE !!!
