SIMULATION LOG - STABLE CANDIDATES ONLY
VACUUM_FREQ: 137.035999
------------------------------------------------------------
FREQ_HZ      | RATIO (w/vac)   | MAX_STRAIN   | STATUS
------------------------------------------------------------
1.0000       | 0.007297        | 0.999932     | STABLE
1.0299       | 0.007516        | 0.999900     | STABLE
1.0598       | 0.007734        | 0.999700     | STABLE
1.0897       | 0.007952        | 0.999998     | STABLE
1.1196       | 0.008170        | 0.999974     | STABLE
1.1495       | 0.008388        | 0.999811     | STABLE
1.1794       | 0.008607        | 0.999963     | STABLE
1.2093       | 0.008825        | 0.999936     | STABLE
1.2392       | 0.009043        | 0.999970     | STABLE
1.2691       | 0.009261        | 0.999952     | STABLE
1.2990       | 0.009479        | 0.999650     | STABLE
1.3289       | 0.009698        | 0.999912     | STABLE
1.3588       | 0.009916        | 0.999828     | STABLE
1.3887       | 0.010134        | 0.999961     | STABLE
1.4186       | 0.010352        | 0.999854     | STABLE
1.4485       | 0.010571        | 0.999936     | STABLE
1.4784       | 0.010789        | 0.999871     | STABLE
1.5084       | 0.011007        | 0.999793     | STABLE
1.5383       | 0.011225        | 0.999853     | STABLE
1.5682       | 0.011443        | 0.999959     | STABLE
1.5981       | 0.011662        | 0.999917     | STABLE
1.6280       | 0.011880        | 0.999969     | STABLE
1.6579       | 0.012098        | 0.999404     | STABLE
1.6878       | 0.012316        | 0.999998     | STABLE
1.7177       | 0.012534        | 0.999973     | STABLE
1.7476       | 0.012753        | 0.999816     | STABLE
1.7775       | 0.012971        | 0.999574     | STABLE
1.8074       | 0.013189        | 0.999935     | STABLE
1.8373       | 0.013407        | 0.999963     | STABLE
1.8672       | 0.013626        | 0.999383     | STABLE
1.8971       | 0.013844        | 0.999822     | STABLE
1.9270       | 0.014062        | 0.999985     | STABLE
1.9569       | 0.014280        | 0.999904     | STABLE
1.9868       | 0.014498        | 0.999877     | STABLE
2.0167       | 0.014717        | 0.999953     | STABLE
2.0466       | 0.014935        | 0.999993     | STABLE
2.0765       | 0.015153        | 0.999961     | STABLE
2.1064       | 0.015371        | 0.999954     | STABLE
2.1363       | 0.015589        | 0.999819     | STABLE
2.1662       | 0.015808        | 0.999987     | STABLE
2.1961       | 0.016026        | 0.999909     | STABLE
2.2260       | 0.016244        | 0.999967     | STABLE
2.2559       | 0.016462        | 0.999962     | STABLE
2.2858       | 0.016680        | 0.999872     | STABLE
2.3157       | 0.016899        | 0.999847     | STABLE
2.3456       | 0.017117        | 0.999923     | STABLE
2.3755       | 0.017335        | 0.999996     | STABLE
2.4054       | 0.017553        | 0.999960     | STABLE
2.4353       | 0.017772        | 0.999971     | STABLE
2.4652       | 0.017990        | 0.999880     | STABLE
2.4951       | 0.018208        | 0.999982     | STABLE
2.5251       | 0.018426        | 0.999963     | STABLE
2.5550       | 0.018644        | 0.999518     | STABLE
2.5849       | 0.018863        | 0.999994     | STABLE
2.6148       | 0.019081        | 0.999997     | STABLE
